ablation_name,event_id,target_bundle_id,target_rank_before,target_rank_after,baseline_top1_bundle_id,e32b_top1_bundle_id,target_in_top3,target_lost_top1,lost_reason
A8_full_E32b_no_content_score,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-005,287,2,2,286,286,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-006,336,3,3,338,338,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-010,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-011,523,3,3,518,518,1,1,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-015,628,2,2,636,636,1,1,baseline_top1_high_confidence_correct_or_ambiguous
