ablation_name,event_id,sequence_id,proposal_detected,is_focus_event,baseline_target_rank,e32b_target_rank,baseline_top1_bundle_id,e32b_top1_bundle_id,baseline_target_in_top3,e32b_target_in_top3,baseline_target_in_top5,e32b_target_in_top5,baseline_success,e32b_success,delta_class,baseline_false_reason,e32b_false_reason
A2_strict_swap_gate_only,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A2_strict_swap_gate_only,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A2_strict_swap_gate_only,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A2_strict_swap_gate_only,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A2_strict_swap_gate_only,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A2_strict_swap_gate_only,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A2_strict_swap_gate_only,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A3_pairwise_top3_comparator_only,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A3_pairwise_top3_comparator_only,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A3_pairwise_top3_comparator_only,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A3_pairwise_top3_comparator_only,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A3_pairwise_top3_comparator_only,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A3_pairwise_top3_comparator_only,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A3_pairwise_top3_comparator_only,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A3_pairwise_top3_comparator_only,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A4_freeze_plus_strict_swap,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A4_freeze_plus_strict_swap,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A4_freeze_plus_strict_swap,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A4_freeze_plus_strict_swap,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A4_freeze_plus_strict_swap,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A4_freeze_plus_strict_swap,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A4_freeze_plus_strict_swap,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A4_freeze_plus_strict_swap,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A5_freeze_plus_pairwise,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A5_freeze_plus_pairwise,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A5_freeze_plus_pairwise,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A5_freeze_plus_pairwise,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A5_freeze_plus_pairwise,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A5_freeze_plus_pairwise,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A5_freeze_plus_pairwise,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A5_freeze_plus_pairwise,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A6_strict_swap_plus_pairwise,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A6_strict_swap_plus_pairwise,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A6_strict_swap_plus_pairwise,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A6_strict_swap_plus_pairwise,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A6_strict_swap_plus_pairwise,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A6_strict_swap_plus_pairwise,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A6_strict_swap_plus_pairwise,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A6_strict_swap_plus_pairwise,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A7_full_E32b_safe_top3,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A7_full_E32b_safe_top3,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A7_full_E32b_safe_top3,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A7_full_E32b_safe_top3,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A7_full_E32b_safe_top3,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A7_full_E32b_safe_top3,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A7_full_E32b_safe_top3,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A7_full_E32b_safe_top3,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A8_full_E32b_no_content_score,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A8_full_E32b_no_content_score,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A8_full_E32b_no_content_score,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A8_full_E32b_no_content_score,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A8_full_E32b_no_content_score,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A8_full_E32b_no_content_score,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A8_full_E32b_no_content_score,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A8_full_E32b_no_content_score,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A9_full_E32b_high_margin_swap_only,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A9_full_E32b_high_margin_swap_only,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A9_full_E32b_high_margin_swap_only,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A9_full_E32b_high_margin_swap_only,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A9_full_E32b_high_margin_swap_only,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A9_full_E32b_high_margin_swap_only,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A9_full_E32b_high_margin_swap_only,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A9_full_E32b_high_margin_swap_only,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A10_full_E32b_no_bundle552_swap,M-ARC-TA-001,track_a_bridge,1,0,,,76,76,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A10_full_E32b_no_bundle552_swap,M-RE-TC-005,track_c_long_horizon,1,0,2,2,286,286,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
